1945.16, DDC113952, 1, C:\media\DRSRetrieve\top500\DDC113952.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/43269073?width=1024&height=1024, OK
1945.27, DDC111739, 1, C:\media\DRSRetrieve\top500\DDC111739.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/23074201?width=1024&height=1024, OK
1949.128, INV184118, 1, C:\media\DRSRetrieve\top500\INV184118.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/20489981?width=1024&height=1024, OK
1949.146.11, INV029128, 1, C:\media\DRSRetrieve\top500\INV029128.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/18811820?width=1024&height=1024, OK
1949.3, DDC103492, 1, C:\media\DRSRetrieve\top500\DDC103492.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/20029197?width=1024&height=1024, OK
1949.70, DDC111709, 1, C:\media\DRSRetrieve\top500\DDC111709.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/23028727?width=1024&height=1024, OK
1949.76, 21161, 1, C:\media\DRSRetrieve\top500\21161.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/43182040?width=1024&height=1024, OK
1950.130, 70717, 1, C:\media\DRSRetrieve\top500\70717.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17804232?width=1024&height=1024, OK
1951.46, 80500, 1, C:\media\DRSRetrieve\top500\80500.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/43183908?width=1024&height=1024, OK
1951.47, 51655, 1, C:\media\DRSRetrieve\top500\51655.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17387753?width=1024&height=1024, OK
1951.50, 21330, 1, C:\media\DRSRetrieve\top500\21330.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17328898?width=1024&height=1024, OK
1951.53, 30127, 1, C:\media\DRSRetrieve\top500\30127.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/20673617?width=1024&height=1024, OK
1951.54, 30464, 1, C:\media\DRSRetrieve\top500\30464.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17357776?width=1024&height=1024, OK
1951.55.1, 18656, 1, C:\media\DRSRetrieve\top500\18656.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/43181791?width=1024&height=1024, OK
1951.57, 13357, 1, C:\media\DRSRetrieve\top500\13357.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/43181459?width=1024&height=1024, OK
1951.59, 51761, 1, C:\media\DRSRetrieve\top500\51761.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17387836?width=1024&height=1024, OK
1951.63, 18660, 1, C:\media\DRSRetrieve\top500\18660.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/43181792?width=1024&height=1024, OK
1951.65, DDC000072, 1, C:\media\DRSRetrieve\top500\DDC000072.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/18737483?width=1024&height=1024, OK
1951.66, 18663, 1, C:\media\DRSRetrieve\top500\18663.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/43181794?width=1024&height=1024, OK
1951.67, 18664, 1, C:\media\DRSRetrieve\top500\18664.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/43181795?width=1024&height=1024, OK
1951.68, 77644, 1, C:\media\DRSRetrieve\top500\77644.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17917091?width=1024&height=1024, OK
1951.70, 71385, 1, C:\media\DRSRetrieve\top500\71385.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/43183852?width=1024&height=1024, OK
1953.42, 13351, 1, C:\media\DRSRetrieve\top500\13351.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/43181457?width=1024&height=1024, OK
1953.81, 45355, 1, C:\media\DRSRetrieve\top500\45355.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/20681010?width=1024&height=1024, OK
1955.167, 71188, 1, C:\media\DRSRetrieve\top500\71188.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/17804656?width=1024&height=1024, OK
1955.174.A-C, 78637, 1, C:\media\DRSRetrieve\top500\78637.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/18204849?width=1024&height=1024, OK
1956.184.B, 80721, 1, C:\media\DRSRetrieve\top500\80721.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/20864368?width=1024&height=1024, OK
1956.19, DDC107049, 1, C:\media\DRSRetrieve\top500\DDC107049.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/11434620?width=1024&height=1024, OK
1956.197, DDC101159, 1, C:\media\DRSRetrieve\top500\DDC101159.jpg, image/jpeg, http://ids.lib.harvard.edu/ids/view/18772780?width=1024&height=1024, OK
